age,years_licensed,vehicle_age,vehicle_type,annual_mileage,prior_claims,avg_speed_mph,hard_braking_per_trip,sharp_cornering_per_trip,night_driving_pct,highway_pct,trips_per_week,phone_use_per_trip,speeding_pct,annual_premium
56,37,9,SUV,11958,0,27.7,0.63,0.72,26.5,60.5,17.6,0.22,42.3,1283.39
69,54,1,Sports,15745,0,23.6,0.44,3.1,14.6,22.8,31.3,0.06,8.0,1568.87
46,28,10,Truck,14802,0,61.5,0.85,1.68,14.0,36.1,31.2,0.73,2.6,1679.68
32,16,9,SUV,12494,0,59.5,0.93,1.74,16.4,36.2,21.6,0.02,8.3,1306.55
60,45,5,Sports,7642,0,45.0,1.13,0.38,28.3,59.7,27.7,0.71,20.7,1328.0
25,9,17,SUV,6262,1,30.4,5.14,0.68,17.0,64.8,41.0,1.58,19.0,1675.86
38,22,1,Sports,12426,0,41.7,3.53,0.8,45.9,52.5,27.3,2.87,17.0,2652.03
56,38,1,Sedan,9829,2,62.1,1.41,0.43,11.0,35.9,15.8,0.25,9.1,1481.29
36,19,9,Sedan,15677,0,39.0,0.06,0.12,10.0,59.8,18.2,0.06,32.4,1176.73
40,25,15,Sports,14983,1,34.2,1.42,0.16,25.3,63.6,17.8,0.05,32.9,1990.4
28,10,11,SUV,11262,1,40.4,0.14,0.24,5.5,33.4,35.6,0.34,0.8,1543.8
28,12,0,Sports,7369,1,41.5,1.86,0.27,37.6,45.7,28.2,0.78,19.4,2046.93
41,23,7,Hatchback,14043,0,53.9,0.74,0.33,7.3,62.4,12.4,0.02,13.4,927.82
70,53,15,Sedan,7928,1,20.0,2.73,0.35,21.6,45.4,35.4,0.09,38.8,1169.16
53,38,17,SUV,8966,0,47.0,4.28,0.73,14.3,70.9,29.5,0.44,59.4,1594.12
57,40,12,SUV,8082,1,36.6,0.81,0.85,28.0,70.2,26.4,0.04,23.6,1210.25
41,22,14,SUV,11446,0,38.6,0.93,0.44,39.8,52.1,37.1,1.05,12.9,1493.55
20,5,11,Truck,16681,0,54.1,1.34,2.85,21.1,67.9,23.2,0.35,8.2,2068.65
39,22,7,Sedan,11980,0,29.4,0.33,0.97,45.4,34.5,35.9,0.24,12.1,1020.87
70,54,9,SUV,10227,0,47.2,3.93,1.86,19.2,47.3,7.3,0.01,39.7,1336.8
19,4,13,Truck,5898,1,50.8,0.85,3.1,27.2,34.5,19.1,0.06,19.6,1951.38
41,26,4,Sedan,14208,0,52.0,0.27,0.21,19.3,39.5,31.3,0.88,14.6,1345.25
61,43,17,Sports,8878,1,53.5,2.16,0.67,25.6,62.1,38.4,0.6,6.2,1621.62
47,31,18,SUV,12470,0,51.9,0.37,0.68,20.0,45.5,15.3,0.01,17.9,1304.39
55,36,14,Hatchback,10583,0,53.6,0.23,0.53,16.1,42.2,21.7,1.82,12.8,1134.28
19,2,5,Sedan,15353,0,34.4,1.24,0.01,40.0,47.7,26.3,0.22,3.2,1641.83
38,20,10,Sedan,11371,0,61.4,1.67,2.03,26.0,57.5,17.5,0.47,11.7,1287.33
50,33,10,SUV,11764,0,30.8,1.26,0.14,6.1,41.4,22.9,0.64,8.3,1207.81
29,10,19,Sedan,13943,0,49.4,1.6,6.48,26.1,23.0,37.7,1.57,7.0,1981.58
39,20,19,Hatchback,20428,1,36.8,0.18,1.78,51.7,52.7,16.7,1.11,25.6,1436.28
61,46,17,Sedan,15554,0,24.4,0.97,1.04,61.2,88.6,23.1,0.45,0.1,899.82
42,23,17,Truck,11646,1,38.2,0.66,0.2,30.9,39.2,27.2,0.08,6.8,1528.04
66,49,9,SUV,12013,0,43.6,5.44,0.87,8.2,35.0,28.7,0.93,4.2,1317.81
44,28,1,SUV,9901,2,61.6,0.08,0.36,46.9,33.6,18.1,0.85,50.2,2230.06
59,43,8,Sedan,8200,0,66.8,0.53,0.35,22.0,65.3,23.6,0.51,12.1,1112.98
45,30,13,SUV,9789,1,43.4,4.27,2.12,2.5,56.1,22.7,2.27,6.6,1789.31
33,16,18,SUV,8911,0,28.3,6.16,0.57,18.2,52.3,27.4,0.38,25.1,1447.45
32,15,9,Sedan,14613,0,29.3,2.61,0.72,48.3,61.7,15.6,0.12,23.9,1714.91
64,45,3,Hatchback,7715,0,54.3,0.12,2.22,44.1,69.6,35.2,0.15,15.9,985.17
68,51,5,Sedan,17333,1,53.5,1.24,0.11,13.7,31.6,27.1,0.26,5.8,1556.61
61,43,13,SUV,15008,1,37.7,0.77,1.08,24.9,58.7,33.5,0.27,19.7,1501.24
72,53,3,SUV,12082,1,30.9,2.46,1.04,5.0,32.5,20.4,0.89,11.6,1689.87
69,51,14,Sedan,12001,1,56.9,0.08,0.66,49.1,42.4,15.2,1.09,21.7,1385.73
74,55,15,Hatchback,9771,0,30.3,0.33,2.12,17.5,63.3,17.4,0.24,17.7,937.44
20,4,6,SUV,13080,1,39.7,1.01,3.44,6.6,76.7,30.6,1.45,17.0,2197.31
54,39,16,Sedan,16352,0,50.7,0.26,0.75,2.2,68.6,21.5,1.32,28.6,1202.25
68,52,18,SUV,9187,0,21.0,1.77,0.73,8.5,44.6,12.0,0.26,13.2,949.16
24,9,18,SUV,5866,0,56.4,2.58,0.84,29.0,3.6,26.4,1.01,47.4,1807.5
38,21,16,SUV,14813,1,73.6,1.83,1.54,16.5,70.6,22.4,0.06,21.3,1853.41
26,8,5,Truck,13297,0,46.4,0.87,1.32,21.3,47.0,22.6,0.36,18.1,1594.29
56,40,10,Sedan,7519,1,44.6,3.16,0.3,19.3,50.2,11.3,0.62,2.9,1083.1
35,16,15,Sedan,9066,1,45.5,0.22,0.08,41.1,58.0,12.9,0.21,7.8,1411.05
21,3,7,Sports,8564,0,47.7,0.45,3.58,42.4,33.6,20.6,0.01,25.8,2284.19
42,23,10,Sedan,9102,0,36.2,1.01,0.36,7.2,64.9,17.6,0.03,5.4,1040.54
31,13,6,Sports,10705,0,31.5,0.09,1.22,20.5,55.1,20.4,1.12,33.4,1921.87
67,49,18,Sedan,10934,1,40.8,0.15,2.12,30.1,50.7,31.7,0.37,49.1,1439.71
26,11,9,Sports,9397,1,46.8,0.76,0.43,12.0,72.9,16.5,0.08,13.5,1861.72
43,27,8,SUV,8967,0,33.0,4.32,1.21,28.4,29.4,17.8,1.16,24.9,1446.71
70,54,3,SUV,11085,0,28.8,3.59,0.14,21.0,23.5,20.8,1.43,0.5,1325.79
19,1,14,Sedan,12671,0,39.7,0.94,4.21,25.1,40.6,17.3,0.2,9.6,1667.12
37,20,12,Sedan,10735,0,29.0,0.23,0.07,6.2,73.6,23.3,0.44,12.9,1046.43
45,28,1,Sedan,16635,1,53.1,0.29,0.69,33.5,71.6,33.2,0.2,38.6,1934.4
64,45,1,Sedan,14032,0,20.0,0.71,0.92,28.5,54.3,22.7,0.65,26.4,1091.89
24,5,15,Sedan,5637,0,31.0,0.35,1.88,29.9,52.8,27.1,1.48,14.9,1230.48
61,46,8,SUV,14095,0,62.0,0.13,0.15,18.5,53.1,6.4,0.01,12.4,1166.85
25,7,12,SUV,14422,0,42.3,1.68,0.7,44.0,34.0,25.7,0.32,27.7,1854.26
64,45,2,Truck,10261,0,47.2,1.31,0.43,44.8,79.7,36.8,0.8,7.1,1551.56
52,33,8,Truck,6019,1,43.5,0.52,0.45,14.1,33.7,25.8,0.58,33.8,1531.37
31,13,12,SUV,12032,0,37.5,2.26,1.81,40.5,52.5,26.0,0.1,2.8,1720.0
34,19,1,SUV,11969,0,58.1,2.24,0.01,23.5,84.1,27.3,0.25,20.3,1623.55
53,34,7,SUV,7513,0,38.1,1.01,1.66,39.6,70.3,37.5,0.32,53.6,1384.85
67,52,8,SUV,6195,0,35.1,0.15,2.0,35.6,55.6,35.8,0.68,12.4,1020.54
57,41,15,Sports,11650,0,52.9,3.76,2.78,23.0,73.4,16.8,0.31,51.0,2123.43
21,6,1,Sedan,11068,0,21.8,1.66,1.18,48.0,51.8,34.6,0.19,60.0,1863.72
19,2,5,Sedan,10331,2,41.6,0.43,0.49,12.6,67.7,36.0,0.27,3.5,1640.69
23,6,7,Truck,11666,0,38.8,1.41,0.67,18.7,59.0,11.3,1.7,7.5,1756.14
71,55,4,Sedan,7589,2,41.4,0.78,4.2,64.7,47.3,25.2,0.02,33.7,1858.94
59,42,8,Sports,10261,1,39.1,1.51,2.56,23.7,4.2,29.2,0.2,20.6,2010.74
21,5,0,Sports,14133,2,49.5,0.96,0.75,4.5,34.6,2.6,0.11,9.2,2496.44
71,53,8,Sedan,10600,0,58.2,1.0,3.44,5.0,62.9,19.6,0.26,35.1,1153.21
46,29,9,Sedan,5312,0,50.5,2.0,2.08,36.7,36.5,19.3,0.44,38.0,1460.8
